text,department,category,subcategory,priority
"good morning sir, nuisance and stench from dirty public toilet near Rohini Sector 7 market",Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
traffic signal lights not working at major intersection near Sector 17,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen machhar bohot ho gaye hain stagnant water ke wajah se Vasant Kunj me,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
stagnant water pool near Karol Bagh becoming mosquito breeding ground,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
bhai listen street light 1 hafte se band hai Civil Lines me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"hi assistant i am fine, sewage ka paani raste pe beh raha hai near Railway Station Road",Sanitation Department,Sanitation,Sewage Overflow,HIGH
"hi assistant i am fine, bijli 6 ghante se nahi hai Karol Bagh me",Electricity Department,Electricity,Power Outage,HIGH
"please help me, bus stop shelter shade damaged and rusted near Sector 17",Municipal Transport Department,Transport,Bus Stop Damage,LOW
hello sir my name is rahul and entire stretch of road near Vasant Kunj is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"good morning sir, bus stop shelter shade damaged and rusted near Dwarka Sector 10",Municipal Transport Department,Transport,Bus Stop Damage,LOW
sewage ka paani raste pe beh raha hai near Karol Bagh,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"good morning sir, streetlights turned off on main road near Railway Station Road for 3 nights",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
sewage line overflowing near Karol Bagh creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"hi assistant i am fine, road is completely broken with dangerous potholes everywhere",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
road is flooded because a water pipeline is leaking in Sector 17,Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am rahul shamram i am fine so the problem is that nuisance and stench from dirty public toilet near Dwarka Sector 10 market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
hello sir my name is rahul and garbage has not been collected from sector 17 for 4 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
traffic light kharab hai near Railway Station Road chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, entire stretch of road near Dwarka Sector 10 is pitch dark at night",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"hi assistant i am fine, bijli 6 ghante se nahi hai Model Town me",Electricity Department,Electricity,Power Outage,HIGH
in our area drainage gutter overflow inundating street water in Rohini Sector 7,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bhai listen urgent fogging required near Rohini Sector 7 due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
"hi assistant i am fine, footpath is broken and paved tiles are missing near Civil Lines",Public Works Department,Roads / PWD,Broken Footpath,LOW
bhai listen stormwater drain is completely clogged with silt near Vasant Kunj,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
bus stop shelter shade damaged and rusted near civil lines,Municipal Transport Department,Transport,Bus Stop Damage,LOW
"hi assistant i am fine, community waste bin overflowing near Rohini Sector 7",Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
open manhole on main road near Karol Bagh poses severe danger to pedestrians,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
hello sir my name is rahul and bus stop shelter shade damaged and rusted near Connaught Place,Municipal Transport Department,Transport,Bus Stop Damage,LOW
traffic signal lights not working at major intersection near Model Town,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen huge pile of uncollected trash dumped openly near Sector 17,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
i am reporting an issue that street light 1 hafte se band hai Model Town me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
in our area sewage manhole overflow causing smell and filth on pavement near Model Town,Sanitation Department,Sanitation,Sewage Overflow,HIGH
in our area pothole on road needs urgent repair before an accident happens,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
there are large potholes on the road making driving very dangerous,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
street light 1 hafte se band hai Model Town me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"please help me, big pothole on main road causing accidents and damage to vehicles",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
nali overflow kar rahi hai Sector 17 ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bhai listen pipeline leak hai aur paani road par jama ho raha hai,Water Department,Water Supply,Water Pipeline Leakage,HIGH
hello sir my name is rahul and footpath is broken and paved tiles are missing near Sector 17,Public Works Department,Roads / PWD,Broken Footpath,LOW
in our area water is coming out of a broken pipe on the road near Rohini Sector 7,Water Department,Water Supply,Water Pipeline Leakage,HIGH
sewage ka paani raste pe beh raha hai near railway station road,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"hi assistant i am fine, there is sewage overflowing from the chamber onto the walking path in Railway Station Road",Sanitation Department,Sanitation,Sewage Overflow,HIGH
"please help me, sewage chamber is overflowing and sewage spreading on street near Connaught Place",Sanitation Department,Sanitation,Sewage Overflow,HIGH
footpath is broken and paved tiles are missing near Vasant Kunj,Public Works Department,Roads / PWD,Broken Footpath,LOW
hello sir my name is rahul and water pipe is leaking near Connaught Place and road is full of water,Water Department,Water Supply,Water Pipeline Leakage,HIGH
fumigation and mosquito fogging required urgently in vasant kunj,Public Health Department,Public Health,Vector Disease Control,HIGH
entire stretch of road near Vasant Kunj is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"please help me, water pressure is extremely low in civil lines, cannot fill top tank",Water Department,Water Supply,Low Water Pressure,MEDIUM
nali overflow kar rahi hai Dwarka Sector 10 ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"hi assistant i am fine, entire stretch of road near Lajpat Nagar is pitch dark at night",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"hello sir my name is rahul and fogging karwao area me, dengue phail raha hai",Public Health Department,Public Health,Vector Disease Control,HIGH
hello sir my name is rahul and big pothole on main road causing accidents and damage to vehicles,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am reporting an issue that street light 1 hafte se band hai Karol Bagh me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
in our area stagnant water pool near Vasant Kunj becoming mosquito breeding ground,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
sewage ka paani raste pe beh raha hai near Railway Station Road,Sanitation Department,Sanitation,Sewage Overflow,HIGH
bimari phail rahi hai please health department ko bhejo Karol Bagh me,Public Health Department,Public Health,Disease Outbreak,HIGH
road ki condition bahut kharab hai connaught place me,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
"good morning sir, street light 1 hafte se band hai Lajpat Nagar me",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
hello sir my name is rahul and streetlights turned off on main road near Connaught Place for 3 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bhai listen no water coming out of kitchen tap since Monday,Water Department,Water Supply,No Water Supply,HIGH
"please help me, nali overflow kar rahi hai Lajpat Nagar ke raste pe",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
in our area dengue phail raha hai please fogging lagwao area me,Public Health Department,Public Health,Vector Disease Control,HIGH
"good morning sir, electric pole near Vasant Kunj is leaning dangerously and about to fall",Electricity Department,Electricity,Damaged Electric Pole,HIGH
in our area frequent voltage fluctuations and power cuts in Dwarka Sector 10 area,Electricity Department,Electricity,Power Outage,HIGH
bhai listen bimari phail rahi hai please health department ko bhejo Civil Lines me,Public Health Department,Public Health,Disease Outbreak,HIGH
i am rahul shamram i am fine so the problem is that streetlights turned off on main road near rohini sector 7 for 4 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"hi assistant i am fine, the road condition near Railway Station Road is extremely bad and damaged",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
bhai listen bimari phail rahi hai please health department ko bhejo Vasant Kunj me,Public Health Department,Public Health,Disease Outbreak,HIGH
bijli 6 ghante se nahi hai Civil Lines me,Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, malaria aur dengue ke case badh rahe hain Dwarka Sector 10 me, fogging karo",Public Health Department,Public Health,Vector Disease Control,HIGH
traffic light kharab hai near Lajpat Nagar chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
fever cases increasing in Connaught Place suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
"hi assistant i am fine, sewage ka paani raste pe beh raha hai near Dwarka Sector 10",Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am reporting an issue that huge pile of uncollected trash dumped openly near Model Town,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"good morning sir, severe waterlogging in Rohini Sector 7 after light rain due to choked drains",Municipal Drainage Department,Drainage,Waterlogging,HIGH
hello sir my name is rahul and public toilet near Lajpat Nagar is extremely filthy and not cleaned,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"good morning sir, footpath is broken and paved tiles are missing near Connaught Place",Public Works Department,Roads / PWD,Broken Footpath,LOW
i am rahul shamram i am fine so the problem is that garbage has not been collected from Dwarka Sector 10 for 5 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
water pressure is very low,Water Department,Water Supply,Low Water Pressure,MEDIUM
drainage gutter overflow inundating street water in Sector 17,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"please help me, nuisance and stench from dirty public toilet near Karol Bagh market",Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"good morning sir, big pothole on main road causing accidents and damage to vehicles",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am rahul shamram i am fine so the problem is that traffic signal lights not working at major intersection near Railway Station Road,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am rahul shamram i am fine so the problem is that sewage manhole overflow causing smell and filth on pavement near Vasant Kunj,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"please help me, bus stop shelter shade damaged and rusted near Karol Bagh",Municipal Transport Department,Transport,Bus Stop Damage,LOW
i am reporting an issue that traffic light kharab hai near Karol Bagh chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hello sir my name is rahul and dengue cases badh rahe hain, please fogging karwao railway station road me",Public Health Department,Public Health,Vector Disease Control,HIGH
traffic signal lights not working at major intersection near Dwarka Sector 10,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am reporting an issue that there are large potholes on the road making driving very dangerous,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen community waste bin overflowing near Civil Lines,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
bijli 6 ghante se nahi hai Railway Station Road me,Electricity Department,Electricity,Power Outage,HIGH
hello sir my name is rahul and there is a road on that road there is a pipe that is leaking and road is full of water,Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am reporting an issue that public toilet is closed and locked since 3 days near Model Town,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
i am rahul shamram i am fine so the problem is that traffic light kharab hai near Lajpat Nagar chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
pothole on road needs urgent repair before an accident happens,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
traffic light kharab hai near Lajpat Nagar chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
garbage has not been collected from Vasant Kunj for 5 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
garbage has not been collected from Rohini Sector 7 for 2 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
hello sir my name is rahul and traffic light kharab hai near dwarka sector 10 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"good morning sir, public toilet is closed and locked since 7 days near Railway Station Road",Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
machhar bohot ho gaye hain stagnant water ke wajah se Rohini Sector 7 me,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"hi assistant i am fine, there is a huge pothole on the main road",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"hi assistant i am fine, bijli 6 ghante se nahi hai Vasant Kunj me",Electricity Department,Electricity,Power Outage,HIGH
sewage line overflowing near Railway Station Road creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"good morning sir, nali overflow kar rahi hai karol bagh ke raste pe",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
community waste bin overflowing near Connaught Place,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
"please help me, road ki condition bahut kharab hai Connaught Place me",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
bhai listen broken water pipeline is flooding the street in connaught place,Water Department,Water Supply,Water Pipeline Leakage,HIGH
drainage gutter overflow inundating street water in Dwarka Sector 10,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"please help me, nuisance and stench from dirty public toilet near Civil Lines market",Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
bhai listen severe waterlogging in Vasant Kunj after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
i am reporting an issue that streetlight pole broken and light fixture hanging near Rohini Sector 7,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"good morning sir, fever cases increasing in Sector 17 suspected dengue mosquito infestation",Public Health Department,Public Health,Disease Outbreak,HIGH
power supply has been out in Dwarka Sector 10 for more than 4 hours,Electricity Department,Electricity,Power Outage,HIGH
garbage has not been collected from Vasant Kunj for 3 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
in our area traffic signal lights not working at major intersection near Lajpat Nagar,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
in our area streetlights turned off on main road near Connaught Place for 4 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"good morning sir, nali overflow kar rahi hai Model Town ke raste pe",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am reporting an issue that water is leaking from main underground pipeline onto the street,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"please help me, mosquito se dengue ho raha hai area me fogging ki zaroorat hai",Public Health Department,Public Health,Vector Disease Control,HIGH
"please help me, paani nahi aa raha ghar mein",Water Department,Water Supply,No Water Supply,HIGH
"please help me, pipeline burst near Sector 17 causing heavy water leakage on road",Water Department,Water Supply,Water Pipeline Leakage,HIGH
garbage has not been collected from Civil Lines for 3 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
community waste bin overflowing near Railway Station Road,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
"hi assistant i am fine, power supply has been out in Model Town for more than 5 hours",Electricity Department,Electricity,Power Outage,HIGH
i am rahul shamram i am fine so the problem is that severe waterlogging in Dwarka Sector 10 after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"please help me, bus stop shelter shade damaged and rusted near Rohini Sector 7",Municipal Transport Department,Transport,Bus Stop Damage,LOW
"good morning sir, big pothole on main road causing accidents and damage to vehicles",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"hi assistant i am fine, large deep potholes on main road near Railway Station Road causing accidents",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"please help me, public toilet is closed and locked since 3 days near Connaught Place",Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"hi assistant i am fine, drainage gutter overflow inundating street water in Rohini Sector 7",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
road is flooded because a water pipeline is leaking in Civil Lines,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"good morning sir, bhai Civil Lines ke paas rasta poora toota hua hai, pothole hain bohot",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
live electrical wire fallen on road near Sector 17,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"good morning sir, electricity transformer near Civil Lines is sparking violently and emitting smoke",Electricity Department,Electricity,Transformer Sparking,CRITICAL
"good morning sir, severe waterlogging in Vasant Kunj after light rain due to choked drains",Municipal Drainage Department,Drainage,Waterlogging,HIGH
"bhai listen sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen street light 1 hafte se band hai Model Town me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"good morning sir, the road condition near Dwarka Sector 10 is extremely bad and damaged",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
i am reporting an issue that garbage has not been collected from Railway Station Road for 7 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"hi assistant i am fine, community waste bin overflowing near Rohini Sector 7",Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
traffic light kharab hai near civil lines chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am rahul shamram i am fine so the problem is that sewage ka paani raste pe beh raha hai near Rohini Sector 7,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"in our area malaria aur dengue ke case badh rahe hain Lajpat Nagar me, fogging karo",Public Health Department,Public Health,Vector Disease Control,HIGH
in our area nuisance and stench from dirty public toilet near Connaught Place market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
in our area sewage chamber is overflowing and sewage spreading on street near Dwarka Sector 10,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"good morning sir, the road condition near Sector 17 is extremely bad and damaged",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
garbage has not been collected from Dwarka Sector 10 for 4 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
entire stretch of road near Vasant Kunj is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
in our area public toilet near Karol Bagh is extremely filthy and not cleaned,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
streetlights turned off on main road near Sector 17 for 5 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
in our area stagnant water pool near Dwarka Sector 10 becoming mosquito breeding ground,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"good morning sir, huge pile of uncollected trash dumped openly near Model Town",Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
bhai listen traffic signal lights not working at major intersection near Sector 17,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
hello sir my name is rahul and streetlights turned off on main road near Karol Bagh for 4 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"please help me, plague and disease spreading in Rohini Sector 7 due to mosquitoes and stagnant water",Public Health Department,Public Health,Disease Outbreak,HIGH
"hi assistant i am fine, mosquito se dengue ho raha hai area me fogging ki zaroorat hai",Public Health Department,Public Health,Vector Disease Control,HIGH
bijli 6 ghante se nahi hai Vasant Kunj me,Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, dirty brown water is coming from the tap in Lajpat Nagar",Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"hi assistant i am fine, garbage has not been collected from Lajpat Nagar for 7 days",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
in our area kachra 4 din se nahi uthaya gaya hai Sector 17 se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"hi assistant i am fine, road is completely broken with dangerous potholes everywhere",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen street light 1 hafte se band hai Railway Station Road me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"hi assistant i am fine, fever cases increasing in Railway Station Road suspected dengue mosquito infestation",Public Health Department,Public Health,Disease Outbreak,HIGH
big pothole on main road causing accidents and damage to vehicles,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
hello sir my name is rahul and open manhole hai road pe near Vasant Kunj,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
nuisance and stench from dirty public toilet near Lajpat Nagar market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
i am rahul shamram i am fine so the problem is that the road condition near rohini sector 7 is extremely bad and damaged,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
hello sir my name is rahul and fumigation and mosquito fogging required urgently in Railway Station Road,Public Health Department,Public Health,Vector Disease Control,HIGH
dengue phail raha hai please fogging lagwao area me,Public Health Department,Public Health,Vector Disease Control,HIGH
i am reporting an issue that public toilet is closed and locked since 2 days near Model Town,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"good morning sir, electric pole near Model Town is leaning dangerously and about to fall",Electricity Department,Electricity,Damaged Electric Pole,HIGH
kachra 4 din se nahi uthaya gaya hai Lajpat Nagar se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
hello sir my name is rahul and urgent fogging required near Lajpat Nagar due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
bhai listen road construction work near Railway Station Road has been left incomplete for months,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
community waste bin overflowing near Rohini Sector 7,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
"hi assistant i am fine, kachra 4 din se nahi uthaya gaya hai lajpat nagar se",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
the road condition near Rohini Sector 7 is extremely bad and damaged,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
entire stretch of road near Connaught Place is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
bus stop shelter shade damaged and rusted near Model Town,Municipal Transport Department,Transport,Bus Stop Damage,LOW
bhai listen urgent fogging required near Vasant Kunj due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
streetlight pole broken and light fixture hanging near rohini sector 7,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"good morning sir, bus stop shelter shade damaged and rusted near Rohini Sector 7",Municipal Transport Department,Transport,Bus Stop Damage,LOW
i am reporting an issue that streetlight pole broken and light fixture hanging near Lajpat Nagar,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
traffic light kharab hai near Karol Bagh chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, drainage gutter overflow inundating street water in Connaught Place",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am rahul shamram i am fine so the problem is that entire stretch of road near Dwarka Sector 10 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
hello sir my name is rahul and electric pole near Sector 17 is leaning dangerously and about to fall,Electricity Department,Electricity,Damaged Electric Pole,HIGH
i am reporting an issue that huge pile of uncollected trash dumped openly near Lajpat Nagar,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
hello sir my name is rahul and traffic light kharab hai near Lajpat Nagar chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am rahul shamram i am fine so the problem is that sewage manhole overflow causing smell and filth on pavement near Lajpat Nagar,Sanitation Department,Sanitation,Sewage Overflow,HIGH
traffic signal lights not working at major intersection near Connaught Place,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
live electrical wire fallen on road near Rohini Sector 7,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"good morning sir, road ki condition bahut kharab hai karol bagh me",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
bhai listen mosquito se dengue ho raha hai area me fogging ki zaroorat hai,Public Health Department,Public Health,Vector Disease Control,HIGH
streetlights turned off on main road near Lajpat Nagar for 2 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"good morning sir, sadak par pipe se paani leak ho raha hai aur paani jama ho gaya hai",Water Department,Water Supply,Water Pipeline Leakage,HIGH
traffic signal lights not working at major intersection near Karol Bagh,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
streetlights turned off on main road near Railway Station Road for 4 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
hello sir my name is rahul and garbage has not been collected from Vasant Kunj for 7 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"please help me, malaria aur dengue ke case badh rahe hain connaught place me, fogging karo",Public Health Department,Public Health,Vector Disease Control,HIGH
transformer se spark nikal raha hai near Karol Bagh market,Electricity Department,Electricity,Transformer Sparking,CRITICAL
i am rahul shamram i am fine so the problem is that bimari phail rahi hai please health department ko bhejo Lajpat Nagar me,Public Health Department,Public Health,Disease Outbreak,HIGH
"please help me, drainage gutter overflow inundating street water in Sector 17",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
in our area power supply has been out in Dwarka Sector 10 for more than 3 hours,Electricity Department,Electricity,Power Outage,HIGH
large deep potholes on main road near Model Town causing accidents,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"please help me, footpath is broken and paved tiles are missing near Dwarka Sector 10",Public Works Department,Roads / PWD,Broken Footpath,LOW
"good morning sir, water pipe leak ho gaya hai Rohini Sector 7 market ke paas",Water Department,Water Supply,Water Pipeline Leakage,HIGH
hello sir my name is rahul and drainage gutter overflow inundating street water in Railway Station Road,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am reporting an issue that streetlight pole broken and light fixture hanging near connaught place,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
bhai listen frequent voltage fluctuations and power cuts in Karol Bagh area,Electricity Department,Electricity,Power Outage,HIGH
i am rahul shamram i am fine so the problem is that streetlights turned off on main road near Connaught Place for 5 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
