text,department,category,subcategory,priority
electric pole near railway station road is leaning dangerously and about to fall.,Electricity Department,Electricity,Power Outage,HIGH
DRAINAGE GUTTER OVERFLOW INUNDATING STREET WATER IN RAILWAY STATION ROAD.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
No proper bus seating shed or display board at Janakpuri stop.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
transformer se spark nikal raha hai near mayur vihar phase 1 market.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
transformer se spark nikal raha hai near kashmere gate market.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
sanitation condition is very bad near Sector 17 market area.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Dirty brown water is coming from the tap in Karol Bagh.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Overflowing sewage chamber creating severe health hazard near Connaught Place residential flats.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
sewage ka paani raste pe beh raha hai near Ring Road Junction.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
sanitation condition is very bad near pitampura market area.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"Road ki condition bahut kharab hai Preet Vihar me, accident ho rahe hain.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Pest infestation and open unhygienic waste near Pitampura food market.,Public Health Department,Public Health,Vector Disease Control,HIGH
Entire stretch of road near Sector 17 is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Stormwater drain is completely clogged with silt near Rohini Sector 7.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Sewage and drain water entering houses in Janakpuri locality.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Sewage and drain water entering houses in Preet Vihar locality.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Garbage has not been collected from Preet Vihar for 5 days.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
machhar bohot ho gaye hain stagnant water ke wajah se Karol Bagh me.,Public Health Department,Public Health,Vector Disease Control,HIGH
Garbage has not been collected from Kashmere Gate for 3 days.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
dark street near sector 17 making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
SEWAGE LINE OVERFLOWING NEAR CHANDNI CHOWK CREATING UNSANITARY CONDITIONS.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Main junction near Rohini Sector 7 has huge potholes damaging vehicles daily.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
"BAARISH KE BAAD GT ROAD ME PAANI BHAR GAYA HAI, DRAIN BLOCKED HAI.",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
garbage dump ho raha hai open space me near Ring Road Junction.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
traffic signal blinking red continuously at civil lines intersection.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Rotting organic waste creating intense stench near Lajpat Nagar main market.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Clogged stormwater channel causing 2 feet water accumulation in Railway Station Road.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Community waste bin overflowing near Rohini Sector 7 attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
HIGH VOLTAGE SURGE BURNT ELECTRICAL APPLIANCES IN CHANDNI CHOWK.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
"fogging karwao Model Town area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Sewage and drain water entering houses in Janakpuri locality.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Asphalt has caved in near Kashmere Gate creating a dangerous road depression.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
light pole toota hua hai near Lajpat Nagar park.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
"fogging karwao Model Town area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Entire stretch of road near GT Road is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"paani ki supply bilkul band hai Pitampura me, please help karo.",Water Department,Water Supply,Water Meter Defect,LOW
"FOGGING KARWAO ROHINI SECTOR 7 AREA ME, DENGUE CASES BADH RAHE HAIN.",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
Streetlights turned off on main road near Civil Lines for 3 nights.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
FOOTPATH BROKEN HAI NEAR SECTOR 17 STATION AREA.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Our taps have been completely dry since yesterday.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
traffic signal blinking red continuously at Lajpat Nagar intersection.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Sewage line overflowing near GT Road creating unsanitary conditions.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"street light 1 hafte se band hai lajpat nagar me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
non-functional street lamps along main highway stretch near karol bagh.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Complete blackout in GT Road locality since yesterday night.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
garbage dump ho raha hai open space me near karol bagh.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
public toilet bahut ganda hai near Ring Road Junction bus stand.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
sewage ka paani raste pe beh raha hai near Vasant Kunj.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
urgent mosquito spray drive needed in connaught place due to malaria outbreak risk.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
streetlight pole broken and light fixture hanging near mayur vihar phase 1.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
No proper bus seating shed or display board at Janakpuri stop.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Stray dogs aggressiveness causing safety fear near Pitampura park.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
traffic signal blinking red continuously at ring road junction intersection.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Streetlight pole broken and light fixture hanging near Sector 17.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
our taps have been completely dry since yesterday.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Sewage and drain water entering houses in Railway Station Road locality.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Stray dogs aggressiveness causing safety fear near Preet Vihar park.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
light pole toota hua hai near Dwarka Sector 10 park.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Stormwater drain is completely clogged with silt near Sector 17.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
BUSES PARKING ILLEGALLY BLOCKING LANE NEAR CHANDNI CHOWK TERMINAL.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
"baarish ke baad Kashmere Gate me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Fumigation and mosquito fogging required urgently in Rajouri Garden area.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
traffic signal blinking red continuously at Rohini Sector 7 intersection.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Complete blackout in Chandni Chowk locality since last week night.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
"road ki condition bahut kharab hai preet vihar me, accident ho rahe hain.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Stray dogs aggressiveness causing safety fear near Railway Station Road park.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
asphalt has caved in near sector 17 creating a dangerous road depression.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
sanitation condition is very bad near Civil Lines market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Traffic signal lights not working at major intersection near Lajpat Nagar.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Open manhole on main road near Karol Bagh poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"baarish ke baad karol bagh me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Entire stretch of road near Ring Road Junction is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Entire stretch of road near Connaught Place is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
machhar bohot ho gaye hain stagnant water ke wajah se Saket Block C me.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Drainage gutter overflow inundating street water in Connaught Place.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Stormwater drain is completely clogged with silt near Lajpat Nagar.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"bhai Janakpuri ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
pest infestation and open unhygienic waste near mayur vihar phase 1 food market.,Public Health Department,Public Health,Vector Disease Control,HIGH
ROAD CONSTRUCTION WORK NEAR ROHINI SECTOR 7 HAS BEEN LEFT INCOMPLETE FOR MONTHS.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
"traffic light kharab hai near karol bagh chowk, jam lag raha hai.",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Stagnant water pool near Chandni Chowk becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
High voltage surge burnt electrical appliances in Rohini Sector 7.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
stray dogs problem near Model Town primary school.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
No proper bus seating shed or display board at Chandni Chowk stop.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Sewage line overflowing near Karol Bagh creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
waste bin overflow kar raha hai near ring road junction colony.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"street light 1 hafte se band hai Civil Lines me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
FOOTPATH IS BROKEN AND PAVED TILES ARE MISSING NEAR MAYUR VIHAR PHASE 1.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Urgent mosquito spray drive needed in GT Road due to malaria outbreak risk.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
sanitation condition is very bad near Kashmere Gate market area.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
nali overflow kar rahi hai Civil Lines ke raste pe.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Severe foul odor coming from unmaintained public restroom near Karol Bagh.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
DAMAGED BUS SHELTER BENCH NEAR SAKET BLOCK C CAUSING INCONVENIENCE TO ELDERLY COMMUTERS.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
no drinking water available in railway station road for 2 consecutive days.,Water Department,Water Supply,Low Water Pressure,MEDIUM
STREETLIGHT POLE BROKEN AND LIGHT FIXTURE HANGING NEAR KASHMERE GATE.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
nali overflow kar rahi hai Model Town ke raste pe.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Electricity transformer near Mayur Vihar Phase 1 is sparking violently and emitting smoke.,Electricity Department,Electricity,Power Outage,HIGH
Public toilet near Chandni Chowk is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
sanitation condition is very bad near Model Town market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
machhar bohot ho gaye hain stagnant water ke wajah se gt road me.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Drainage gutter overflow inundating street water in Preet Vihar.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Stray dogs aggressiveness causing safety fear near Lajpat Nagar park.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
HIGH VOLTAGE SURGE BURNT ELECTRICAL APPLIANCES IN CIVIL LINES.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
Rotting organic waste creating intense stench near Chandni Chowk main market.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Severe foul odor coming from unmaintained public restroom near Model Town.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
public sanitation facility in preet vihar lacks water and cleanliness.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
ganda paani aa raha hai tap me Pitampura ke andar.,Water Department,Water Supply,Low Water Pressure,MEDIUM
Asphalt has caved in near Ring Road Junction creating a dangerous road depression.,Public Works Department,Roads / PWD,Broken Footpath,LOW
public toilet bahut ganda hai near Preet Vihar bus stand.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
public toilet bahut ganda hai near Preet Vihar bus stand.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Entire stretch of road near Railway Station Road is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
there is a major water shortage in our colony near mayur vihar phase 1.,Water Department,Water Supply,Low Water Pressure,MEDIUM
traffic signal blinking red continuously at dwarka sector 10 intersection.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
kachra 4 din se nahi uthaya gaya hai Dwarka Sector 10 se.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Stray dogs aggressiveness causing safety fear near Saket Block C park.,Public Health Department,Public Health,Vector Disease Control,HIGH
DAMAGED BUS SHELTER BENCH NEAR MAYUR VIHAR PHASE 1 CAUSING INCONVENIENCE TO ELDERLY COMMUTERS.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Community waste bin overflowing near Karol Bagh attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Road is completely dug up near Saket Block C and no barricades put.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
sewage ka paani raste pe beh raha hai near Rajouri Garden.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
MACHHAR BOHOT HO GAYE HAIN STAGNANT WATER KE WAJAH SE MAYUR VIHAR PHASE 1 ME.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
traffic signal blinking red continuously at Janakpuri intersection.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
nali overflow kar rahi hai janakpuri ke raste pe.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
"bhai chandni chowk ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
water pipe leak ho gaya hai Vasant Kunj market ke paas.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Traffic signal lights not working at major intersection near Chandni Chowk.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Sewage line overflowing near Chandni Chowk creating unsanitary conditions.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Drainage gutter overflow inundating street water in Preet Vihar.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
garbage dump ho raha hai open space me near Dwarka Sector 10.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
There is a major water shortage in our colony near Lajpat Nagar.,Water Department,Water Supply,No Water Supply,HIGH
light pole toota hua hai near Model Town park.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Frequent voltage fluctuations and power cuts in Preet Vihar area.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
non-functional street lamps along main highway stretch near connaught place.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
light pole toota hua hai near Saket Block C park.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Main water supply pipeline damaged during road work in Rohini Sector 7.,Water Department,Water Supply,Water Meter Defect,LOW
ROTTING ORGANIC WASTE CREATING INTENSE STENCH NEAR KAROL BAGH MAIN MARKET.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Huge pile of uncollected trash dumped openly near Ring Road Junction corner.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
Stagnant water pool near Model Town becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Sewage and drain water entering houses in Mayur Vihar Phase 1 locality.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
sewage line overflowing near saket block c creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Water comes for only 10 minutes in the morning with very poor pressure at Dwarka Sector 10.,Water Department,Water Supply,Water Meter Defect,LOW
dark street near Model Town making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
nali overflow kar rahi hai Vasant Kunj ke raste pe.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
electricity transformer near chandni chowk is sparking violently and emitting smoke.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
"FOGGING KARWAO RING ROAD JUNCTION AREA ME, DENGUE CASES BADH RAHE HAIN.",Public Health Department,Public Health,Vector Disease Control,HIGH
bus stand ka shed toota hua hai near Model Town.,Municipal Transport Department,Transport,Public Transport Facility,LOW
BUS STAND KA SHED TOOTA HUA HAI NEAR VASANT KUNJ.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Dirty brown water is coming from the tap in Connaught Place.,Water Department,Water Supply,Low Water Pressure,MEDIUM
water pipe leak ho gaya hai Model Town market ke paas.,Water Department,Water Supply,No Water Supply,HIGH
gutter blocked near pitampura market area.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
Pest infestation and open unhygienic waste near Janakpuri food market.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
our taps have been completely dry since last night.,Water Department,Water Supply,Water Meter Defect,LOW
FOOTPATH IS BROKEN AND PAVED TILES ARE MISSING NEAR DWARKA SECTOR 10.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
"STREET LIGHT 1 HAFTE SE BAND HAI SAKET BLOCK C ME, ANDHERA REHTA HAI.",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"street light 1 hafte se band hai Civil Lines me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
rotting organic waste creating intense stench near lajpat nagar main market.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
tar layer has worn off completely near civil lines making riding difficult.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
"street light 1 hafte se band hai Connaught Place me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
transformer se spark nikal raha hai near janakpuri market.,Electricity Department,Electricity,Power Outage,HIGH
"Road ki condition bahut kharab hai Sector 17 me, accident ho rahe hain.",Public Works Department,Roads / PWD,Broken Footpath,LOW
DARK STREET NEAR VASANT KUNJ MAKING IT UNSAFE FOR WOMEN AT NIGHT.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Streetlight pole broken and light fixture hanging near Pitampura.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Road construction work near Preet Vihar has been left incomplete for months.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"traffic light kharab hai near Karol Bagh chowk, jam lag raha hai.",Municipal Transport Department,Transport,Public Transport Facility,LOW
Fumigation and mosquito fogging required urgently in Pitampura area.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Severe waterlogging in Rohini Sector 7 after light rain due to choked drains.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
sanitation condition is very bad near vasant kunj market area.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Rotting organic waste creating intense stench near Karol Bagh main market.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
nali overflow kar rahi hai Vasant Kunj ke raste pe.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
No drinking water available in Mayur Vihar Phase 1 for 7 consecutive days.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"street light 1 hafte se band hai Rajouri Garden me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
overflowing sewage chamber creating severe health hazard near civil lines residential flats.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"bhai Preet Vihar ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Stray dogs aggressiveness causing safety fear near Lajpat Nagar park.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
entire stretch of road near chandni chowk is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
stray dogs aggressiveness causing safety fear near dwarka sector 10 park.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"open manhole hai road pe near Civil Lines, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
sewage line overflowing near sector 17 creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
waste bin overflow kar raha hai near mayur vihar phase 1 colony.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
live electrical wire raste pe gira hua hai near Ring Road Junction.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
"Road ki condition bahut kharab hai Janakpuri me, accident ho rahe hain.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Entire stretch of road near Railway Station Road is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Overflowing sewage chamber creating severe health hazard near Janakpuri residential flats.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Rotting organic waste creating intense stench near Vasant Kunj main market.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Public sanitation facility in Model Town lacks water and cleanliness.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Frequent voltage fluctuations and power cuts in Chandni Chowk area.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
traffic signal blinking red continuously at Ring Road Junction intersection.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
"street light 1 hafte se band hai Sector 17 me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
THERE HAS BEEN NO WATER SUPPLY IN GT ROAD FOR 3 DAYS.,Water Department,Water Supply,Water Meter Defect,LOW
Sewage line overflowing near Saket Block C creating unsanitary conditions.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
there is a major water shortage in our colony near ring road junction.,Water Department,Water Supply,No Water Supply,HIGH
"FOGGING KARWAO RAILWAY STATION ROAD AREA ME, DENGUE CASES BADH RAHE HAIN.",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
transformer se spark nikal raha hai near Chandni Chowk market.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Open manhole on main road near Janakpuri poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
electricity transformer near gt road is sparking violently and emitting smoke.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
Overflowing sewage chamber creating severe health hazard near Mayur Vihar Phase 1 residential flats.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
STORMWATER DRAIN IS COMPLETELY CLOGGED WITH SILT NEAR MAYUR VIHAR PHASE 1.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
kachra 4 din se nahi uthaya gaya hai Janakpuri se.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
gutter blocked near pitampura market area.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
ganda paani aa raha hai tap me Lajpat Nagar ke andar.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
traffic signal blinking red continuously at Rohini Sector 7 intersection.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Huge pile of uncollected trash dumped openly near Mayur Vihar Phase 1 corner.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
garbage dump ho raha hai open space me near Pitampura.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
buses parking illegally blocking lane near chandni chowk terminal.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
